id,categorie
R_9529,Recyclable
R_9436,Recyclable
R_9494,Recyclable
R_9411,Recyclable
R_9472,Recyclable
R_9383,Recyclable
R_9890,Recyclable
R_973,Recyclable
R_9981,Recyclable
R_9823,Recyclable
R_9283,Recyclable
R_9101,Recyclable
R_921,Recyclable
R_9671,Recyclable
R_9481,Recyclable
R_964,Recyclable
R_9317,Recyclable
R_9894,Recyclable
R_9377,Recyclable
R_9284,Recyclable
R_994,Recyclable
R_9289,Recyclable
R_9947,Recyclable
R_9782,Recyclable
R_9386,Recyclable
R_9180,Recyclable
R_9565,Recyclable
R_9588,Recyclable
R_9156,Recyclable
R_9111,Recyclable
R_9451,Recyclable
R_9719,Recyclable
R_9281,Recyclable
R_9587,Recyclable
R_9158,Recyclable
R_9078,Recyclable
R_9400,Recyclable
R_9651,Recyclable
R_9290,Recyclable
R_9690,Recyclable
R_9516,Recyclable
R_9790,Recyclable
R_9929,Recyclable
R_9562,Recyclable
R_9942,Recyclable
R_9707,Recyclable
R_9976,Recyclable
R_9950,Recyclable
R_93,Recyclable
R_9089,Recyclable
R_9857,Recyclable
R_9370,Recyclable
R_985,Recyclable
R_9039,Recyclable
R_9621,Recyclable
R_9700,Recyclable
R_9067,Recyclable
R_9086,Recyclable
R_9050 (1),Recyclable
R_9580,Recyclable
R_9422,Recyclable
R_9573,Recyclable
R_9855,Recyclable
R_9944,Recyclable
R_9395,Recyclable
R_9676,Recyclable
R_9542,Recyclable
R_9873,Recyclable
R_9202,Recyclable
R_9445,Recyclable
R_9865,Recyclable
R_9255,Recyclable
R_968,Recyclable
R_913,Recyclable
R_9450,Recyclable
R_9447,Recyclable
R_9031,Recyclable
R_9054 (1),Recyclable
R_9972,Recyclable
R_9733,Recyclable
R_9179,Recyclable
R_974,Recyclable
R_9166,Recyclable
R_9778,Recyclable
R_9318,Recyclable
R_9614,Recyclable
R_9858,Recyclable
R_937,Recyclable
R_9548,Recyclable
R_9244,Recyclable
R_9321,Recyclable
R_9901,Recyclable
R_9850,Recyclable
R_918,Recyclable
R_948,Recyclable
R_9716,Recyclable
R_9987,Recyclable
R_9261,Recyclable
R_9124,Recyclable
R_9809,Recyclable
R_9863,Recyclable
R_927,Recyclable
R_9655,Recyclable
R_9897,Recyclable
R_9047 (1),Recyclable
R_9257,Recyclable
R_952,Recyclable
R_935,Recyclable
R_9309,Recyclable
R_9699,Recyclable
R_9157,Recyclable
R_9463,Recyclable
R_9806,Recyclable
R_9287,Recyclable
R_9648,Recyclable
R_9954,Recyclable
R_92,Recyclable
R_971,Recyclable
R_9636,Recyclable
R_9489,Recyclable
R_9531,Recyclable
R_9685,Recyclable
R_9212,Recyclable
R_9765,Recyclable
R_9150,Recyclable
R_9703,Recyclable
R_9603,Recyclable
R_9079,Recyclable
R_9980,Recyclable
R_9566,Recyclable
R_9492,Recyclable
R_9571,Recyclable
R_9364,Recyclable
R_9802,Recyclable
R_9389,Recyclable
R_9727,Recyclable
R_9754,Recyclable
R_9182,Recyclable
R_9217,Recyclable
R_990,Recyclable
R_9417,Recyclable
R_9914,Recyclable
R_9572,Recyclable
R_9294,Recyclable
R_9739,Recyclable
R_9665,Recyclable
R_9795,Recyclable
R_9625,Recyclable
R_9512,Recyclable
R_9859,Recyclable
R_9694,Recyclable
R_9821,Recyclable
R_9263,Recyclable
R_9238,Recyclable
R_9154,Recyclable
R_9069,Recyclable
R_9302,Recyclable
R_9442,Recyclable
R_9196,Recyclable
R_954,Recyclable
R_9498,Recyclable
R_9147,Recyclable
R_9096,Recyclable
R_9842,Recyclable
R_9869,Recyclable
R_975,Recyclable
R_9355,Recyclable
R_9308,Recyclable
R_9320,Recyclable
R_969,Recyclable
R_963,Recyclable
R_9475,Recyclable
R_972,Recyclable
R_9053 (1),Recyclable
R_9260,Recyclable
R_9928,Recyclable
R_9303,Recyclable
R_9114,Recyclable
R_9060,Recyclable
R_910,Recyclable
R_9100,Recyclable
R_9264,Recyclable
R_9374,Recyclable
R_9328,Recyclable
R_981,Recyclable
R_9461,Recyclable
R_9458,Recyclable
R_9040,Recyclable
R_9931,Recyclable
R_9335,Recyclable
R_97,Recyclable
R_9171,Recyclable
R_9985,Recyclable
R_9787,Recyclable
R_9102,Recyclable
R_9499,Recyclable
R_9338,Recyclable
R_9799,Recyclable
R_9305,Recyclable
R_9223,Recyclable
R_9696,Recyclable
R_9232,Recyclable
R_9278,Recyclable
R_9545,Recyclable
R_9856,Recyclable
R_9761,Recyclable
R_9408,Recyclable
R_9605,Recyclable
R_9139,Recyclable
R_9751,Recyclable
R_9247,Recyclable
R_9974,Recyclable
R_979,Recyclable
R_9482,Recyclable
R_9488,Recyclable
R_9316,Recyclable
R_9745,Recyclable
R_9514,Recyclable
R_9301,Recyclable
R_9122,Recyclable
R_9887,Recyclable
R_9056,Recyclable
R_946,Recyclable
R_9927,Recyclable
R_9877,Recyclable
R_9405,Recyclable
R_9076,Recyclable
R_9313,Recyclable
R_9368,Recyclable
R_9724,Recyclable
R_9896,Recyclable
R_9602,Recyclable
R_9168,Recyclable
R_9358,Recyclable
R_9146,Recyclable
R_9449,Recyclable
R_942,Recyclable
R_9940,Recyclable
R_999,Recyclable
R_989,Recyclable
R_9211,Recyclable
R_9804,Recyclable
R_9094,Recyclable
R_9185,Recyclable
R_9775,Recyclable
R_9208,Recyclable
R_9103,Recyclable
R_9832,Recyclable
R_9132,Recyclable
R_9710,Recyclable
R_9138,Recyclable
R_9504,Recyclable
R_9874,Recyclable
R_9643,Recyclable
R_9237,Recyclable
R_9878,Recyclable
R_9134,Recyclable
R_9697,Recyclable
R_9268,Recyclable
R_916,Recyclable
R_9781,Recyclable
R_9030,Recyclable
R_9784,Recyclable
R_9252,Recyclable
R_9964,Recyclable
R_9506,Recyclable
R_9961,Recyclable
R_9375,Recyclable
R_949,Recyclable
R_9041,Recyclable
R_9764,Recyclable
R_9891,Recyclable
R_9747,Recyclable
R_9767,Recyclable
R_9766,Recyclable
R_9661,Recyclable
R_9607,Recyclable
R_9624,Recyclable
R_9188,Recyclable
R_9994,Recyclable
R_9569,Recyclable
R_9090,Recyclable
R_9435,Recyclable
R_9385,Recyclable
R_9390,Recyclable
R_9153,Recyclable
R_9646,Recyclable
R_915,Recyclable
R_9487,Recyclable
R_9998,Recyclable
R_9193,Recyclable
R_9416,Recyclable
R_9916,Recyclable
R_951,Recyclable
R_9366,Recyclable
R_9718,Recyclable
R_9496,Recyclable
R_9125,Recyclable
R_9219,Recyclable
R_9402,Recyclable
R_9769,Recyclable
R_9957,Recyclable
R_9905,Recyclable
R_9526,Recyclable
R_9789,Recyclable
R_9113,Recyclable
R_9326,Recyclable
R_9600,Recyclable
R_9401,Recyclable
R_9369,Recyclable
R_922,Recyclable
R_9708,Recyclable
R_929,Recyclable
R_953,Recyclable
R_9518,Recyclable
R_9619,Recyclable
R_917,Recyclable
R_9243,Recyclable
R_9345,Recyclable
R_9137,Recyclable
R_9670,Recyclable
R_944,Recyclable
R_9584,Recyclable
R_9371,Recyclable
R_9434,Recyclable
R_9242,Recyclable
R_9640,Recyclable
R_9528,Recyclable
R_9225,Recyclable
R_9825,Recyclable
R_9907,Recyclable
R_9055 (1),Recyclable
R_939,Recyclable
R_9709,Recyclable
R_9758,Recyclable
R_9095,Recyclable
